日付	簡易+詳細	簡易のみ	詳細のみ
2018-9-1	293	237	56
2018-9-2	230	165	65
2018-9-3	518	270	248
2018-9-4	336	211	125
2018-9-5	286	85	201
2018-9-6	384	137	247
2018-9-7	286	237	49
2018-9-8	134	118	16
2018-9-9	293	237	56
2018-9-10	230	165	65
2018-9-11	518	270	248
2018-9-12	336	211	125
2018-9-13	286	85	201
2018-9-14	384	137	247
2018-9-15	286	237	49
2018-9-16	134	118	16
2018-9-17	293	237	56
2018-9-18	230	165	65
2018-9-19	518	270	248
2018-9-20	336	211	125
2018-9-21	286	85	201
2018-9-22	384	137	247
2018-9-23	286	237	49
2018-9-24	134	118	16
2018-9-25	293	237	56
2018-9-26	230	165	65
2018-9-27	518	270	248
2018-9-28	336	211	125
2018-9-29	286	85	201
2018-9-30	384	137	247
